|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
0|2007-09-19T10:26:35|1|10|HOSTC|2005-12-31T00:00:00|VIC11000ANNUAL31-DEC-05VN1|11000|Tài sản ngắn hạn|VN|1|2007-10-22T09:36:48|8330000000.0|ANNUAL|13|VIC
1|2007-09-19T10:26:35|2|20|HOSTC|2005-12-31T00:00:00|VIC11100ANNUAL31-DEC-05VN1|11100|Tiền và các khoản tương đương tiền|VN|1|2007-10-22T09:36:48|3341000000.0|ANNUAL|13|VIC
2|2007-09-19T10:26:35|3|30|HOSTC|2005-12-31T00:00:00|VIC11110ANNUAL31-DEC-05VN1|11110|Tiền|VN|1|2007-10-22T09:36:48|3341000000.0|ANNUAL|13|VIC
3|2007-09-19T10:26:35|3|70|HOSTC|2005-12-31T00:00:00|VIC11120ANNUAL31-DEC-05VN1|11120|Các khoản tương đương tiền|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
4|2007-09-19T10:26:35|2|80|HOSTC|2005-12-31T00:00:00|VIC11200ANNUAL31-DEC-05VN1|11200|Các khoản đầu tư tài chính ngắn hạn|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
5|2007-09-19T10:26:35|3|90|HOSTC|2005-12-31T00:00:00|VIC11210ANNUAL31-DEC-05VN1|11210|Đầu tư ngắn hạn|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
6|2007-09-19T10:26:35|3|100|HOSTC|2005-12-31T00:00:00|VIC11290ANNUAL31-DEC-05VN1|11290|Dự phòng giảm giá đầu tư ngắn hạn|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
7|2007-09-19T10:26:35|3|105|HOSTC|2005-12-31T00:00:00|VIC412320ANNUAL31-DEC-05VN1|412320|Đầu tư giữ đến ngày đáo hạn|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
8|2007-09-19T10:26:35|2|110|HOSTC|2005-12-31T00:00:00|VIC11300ANNUAL31-DEC-05VN1|11300|Các khoản phải thu ngắn hạn|VN|1|2007-10-22T09:36:48|4584000000.0|ANNUAL|13|VIC
9|2007-09-19T10:26:35|3|120|HOSTC|2005-12-31T00:00:00|VIC11310ANNUAL31-DEC-05VN1|11310|Phải thu khách hàng|VN|1|2007-10-22T09:36:48|1146000000.0|ANNUAL|13|VIC
10|2007-09-19T10:26:35|3|130|HOSTC|2005-12-31T00:00:00|VIC11320ANNUAL31-DEC-05VN1|11320|Trả trước cho người bán|VN|1|2007-10-22T09:36:48|2946000000.0|ANNUAL|13|VIC
11|2007-09-19T10:26:35|3|140|HOSTC|2005-12-31T00:00:00|VIC11330ANNUAL31-DEC-05VN1|11330|Phải thu nội bộ ngắn hạn|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
12|2007-09-19T10:26:35|3|150|HOSTC|2005-12-31T00:00:00|VIC11340ANNUAL31-DEC-05VN1|11340|Phải thu theo tiến độ kế hoạch hợp đồng xây dựng|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
13|2007-09-19T10:26:35|3|155|HOSTC|2005-12-31T00:00:00|VIC11345ANNUAL31-DEC-05VN1|11345|Phải thu về cho vay ngắn hạn|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
14|2007-09-19T10:26:35|3|160|HOSTC|2005-12-31T00:00:00|VIC11350ANNUAL31-DEC-05VN1|11350|Các khoản phải thu khác|VN|1|2007-10-22T09:36:48|492000000.0|ANNUAL|13|VIC
15|2007-09-19T10:26:35|3|210|HOSTC|2005-12-31T00:00:00|VIC11390ANNUAL31-DEC-05VN1|11390|Dự phòng phải thu ngắn hạn khó đòi|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
16|2007-09-19T10:26:35|3|215|HOSTC|2005-12-31T00:00:00|VIC611530ANNUAL31-DEC-05VN1|611530|Tài sản thiếu chờ xử lý|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
17|2007-09-19T10:26:35|2|220|HOSTC|2005-12-31T00:00:00|VIC11400ANNUAL31-DEC-05VN1|11400|Hàng tồn kho|VN|1|2007-10-22T09:36:48|91000000.0|ANNUAL|13|VIC
18|2007-09-19T10:26:35|3|230|HOSTC|2005-12-31T00:00:00|VIC11410ANNUAL31-DEC-05VN1|11410|Hàng tồn kho|VN|1|2007-10-22T09:36:48|91000000.0|ANNUAL|13|VIC
19|2007-09-19T10:26:35|3|360|HOSTC|2005-12-31T00:00:00|VIC11490ANNUAL31-DEC-05VN1|11490|Dự phòng giảm giá hàng tồn kho|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
20|2007-09-19T10:26:35|2|370|HOSTC|2005-12-31T00:00:00|VIC11500ANNUAL31-DEC-05VN1|11500|Tài sản ngắn hạn khác|VN|1|2007-10-22T09:36:48|314000000.0|ANNUAL|13|VIC
21|2007-09-19T10:26:35|3|380|HOSTC|2005-12-31T00:00:00|VIC11510ANNUAL31-DEC-05VN1|11510|Chi phí trả trước ngắn hạn|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
22|2007-09-19T10:26:35|3|390|HOSTC|2005-12-31T00:00:00|VIC11520ANNUAL31-DEC-05VN1|11520|Thuế GTGT được khấu trừ|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
23|2007-09-19T10:26:35|3|400|HOSTC|2005-12-31T00:00:00|VIC11540ANNUAL31-DEC-05VN1|11540|Thuế và các khoản khác phải thu Nhà nước|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
24|2007-09-19T10:26:35|3|405|HOSTC|2005-12-31T00:00:00|VIC11570ANNUAL31-DEC-05VN1|11570|Giao dịch mua bán lại trái phiếu chính phủ|VN|1|2007-10-22T09:36:48|0.0|ANNUAL|13|VIC
25|2007-09-19T10:26:35|3|410|HOSTC|2005-12-31T00:00:00|VIC11580ANNUAL31-DEC-05VN1|11580|Tài sản ngắn hạn khác|VN|1|2007-10-22T09:36:48|314000000.0|ANNUAL|13|VIC
